Cylinders,Displacement,Horsepower,Weight,Acceleration,Model Year,Origin
8.0,307.0,130.0,,12.0,70.0,USA
8.0,350.0,165.0,3693.0,11.5,70.0,USA
,318.0,150.0,3436.0,11.0,,
8.0,304.0,,,,70.0,
8.0,302.0,,3449.0,10.5,70.0,USA
8.0,429.0,198.0,4341.0,10.0,,
8.0,454.0,,4354.0,9.0,70.0,USA
8.0,440.0,215.0,4312.0,8.5,70.0,
8.0,455.0,225.0,4425.0,10.0,70.0,USA
8.0,390.0,190.0,3850.0,8.5,,USA
8.0,,170.0,3563.0,10.0,70.0,USA
8.0,340.0,160.0,3609.0,8.0,70.0,USA
,,150.0,3761.0,9.5,70.0,USA
8.0,455.0,225.0,3086.0,,70.0,
4.0,,95.0,2372.0,15.0,70.0,Japan
6.0,198.0,95.0,,15.5,70.0,USA
6.0,199.0,97.0,2774.0,15.5,70.0,USA
6.0,200.0,,2587.0,16.0,,USA
,97.0,88.0,2130.0,14.5,70.0,Japan
4.0,97.0,46.0,,20.5,,Europe
,110.0,87.0,2672.0,17.5,,
,107.0,,2430.0,,70.0,
4.0,104.0,95.0,,17.5,70.0,Europe
,,,2234.0,12.5,70.0,Europe
6.0,199.0,90.0,,,70.0,USA
8.0,360.0,,4615.0,14.0,70.0,USA
8.0,,200.0,4376.0,15.0,,
8.0,318.0,,4382.0,13.5,70.0,USA
8.0,304.0,193.0,4732.0,18.5,70.0,USA
4.0,97.0,88.0,2130.0,14.5,71.0,Japan
4.0,,90.0,2264.0,15.5,,USA
4.0,113.0,95.0,2228.0,14.0,71.0,Japan
4.0,98.0,,,19.0,,USA
6.0,232.0,,2634.0,,71.0,
6.0,225.0,105.0,,,71.0,
6.0,250.0,100.0,3329.0,15.5,,USA
6.0,250.0,,3302.0,15.5,71.0,USA
6.0,232.0,100.0,,15.5,71.0,USA
,350.0,165.0,4209.0,12.0,71.0,USA
,400.0,175.0,,11.5,,
8.0,351.0,153.0,4154.0,13.5,71.0,USA
,318.0,,,13.0,71.0,USA
8.0,383.0,180.0,4955.0,11.5,,
8.0,400.0,170.0,,,71.0,USA
8.0,400.0,175.0,,12.0,71.0,USA
6.0,258.0,110.0,,,71.0,USA
4.0,,72.0,2408.0,19.0,,USA
6.0,250.0,100.0,3282.0,15.0,,
6.0,250.0,,,,71.0,USA
4.0,122.0,,,14.0,71.0,USA
4.0,116.0,,,,71.0,Europe
4.0,79.0,,,19.5,71.0,Europe
4.0,88.0,76.0,2065.0,14.5,71.0,Europe
,71.0,,,19.0,71.0,Japan
,72.0,69.0,1613.0,,71.0,Japan
4.0,97.0,60.0,1834.0,19.0,,Europe
4.0,,,1955.0,20.5,71.0,USA
4.0,113.0,,,15.5,72.0,Japan
4.0,97.5,80.0,2126.0,,72.0,
4.0,97.0,,2254.0,23.5,,Europe
4.0,,,2408.0,19.5,,USA
,122.0,,,16.5,72.0,USA
8.0,350.0,,4274.0,12.0,72.0,USA
8.0,400.0,175.0,4385.0,12.0,72.0,USA
,,150.0,,,72.0,USA
8.0,351.0,,4129.0,13.0,72.0,USA
8.0,,150.0,3672.0,11.5,72.0,USA
8.0,,208.0,4633.0,11.0,72.0,USA
8.0,350.0,155.0,4502.0,13.5,72.0,USA
,350.0,160.0,,13.5,72.0,USA
8.0,400.0,190.0,4422.0,12.5,72.0,
3.0,,97.0,2330.0,13.5,72.0,
8.0,304.0,150.0,3892.0,12.5,,USA
,307.0,130.0,,14.0,72.0,USA
8.0,302.0,,,,72.0,USA
8.0,318.0,150.0,4077.0,14.0,,USA
,121.0,112.0,,,72.0,Europe
4.0,,,,18.0,72.0,Europe
,,,2979.0,,72.0,Europe
4.0,96.0,69.0,2189.0,18.0,72.0,Europe
,122.0,86.0,,16.0,,USA
4.0,,92.0,2288.0,17.0,,Japan
4.0,120.0,97.0,2506.0,14.5,,Japan
4.0,98.0,80.0,,,72.0,USA
4.0,97.0,88.0,2100.0,,,
,,,4100.0,13.0,73.0,USA
8.0,,150.0,3672.0,,73.0,USA
8.0,350.0,145.0,3988.0,13.0,73.0,
8.0,,137.0,4042.0,,,USA
8.0,318.0,150.0,,,73.0,USA
8.0,,,,11.5,73.0,USA
8.0,,150.0,4464.0,12.0,73.0,USA
8.0,351.0,158.0,4363.0,,73.0,USA
8.0,318.0,150.0,4237.0,14.5,73.0,USA
,,215.0,4735.0,11.0,,USA
8.0,455.0,225.0,4951.0,11.0,73.0,
8.0,360.0,,3821.0,,73.0,
6.0,225.0,105.0,,16.5,73.0,USA
6.0,,100.0,3278.0,18.0,73.0,USA
6.0,232.0,100.0,,16.0,73.0,USA
6.0,250.0,,,,73.0,USA
,,95.0,2904.0,16.0,73.0,USA
,97.0,46.0,1950.0,21.0,73.0,Europe
,,,4997.0,,73.0,USA
8.0,,167.0,,,73.0,
8.0,360.0,170.0,4654.0,13.0,73.0,USA
8.0,350.0,180.0,4499.0,12.5,73.0,USA
6.0,232.0,100.0,2789.0,15.0,73.0,USA
4.0,,88.0,2279.0,,73.0,Japan
4.0,140.0,72.0,2401.0,19.5,73.0,USA
4.0,,94.0,2379.0,16.5,73.0,Japan
3.0,70.0,90.0,2124.0,13.5,73.0,Japan
,,85.0,2310.0,18.5,,USA
6.0,155.0,107.0,2472.0,14.0,73.0,USA
4.0,98.0,90.0,2265.0,15.5,73.0,Europe
8.0,,145.0,,13.0,,USA
,400.0,,,9.5,73.0,USA
,68.0,,1867.0,,73.0,Europe
,116.0,75.0,,15.5,73.0,Europe
4.0,,,2582.0,14.0,73.0,Europe
4.0,121.0,112.0,2868.0,15.5,,Europe
,318.0,,3399.0,11.0,73.0,USA
,121.0,,,,73.0,
6.0,156.0,122.0,2807.0,13.5,73.0,
,350.0,180.0,3664.0,11.0,,USA
6.0,,95.0,3102.0,16.5,74.0,USA
6.0,200.0,,,17.0,,USA
6.0,232.0,100.0,2901.0,16.0,74.0,USA
,250.0,100.0,,17.0,,USA
4.0,,67.0,1950.0,19.0,74.0,Japan
4.0,122.0,,,16.5,74.0,USA
4.0,,65.0,,21.0,74.0,
4.0,,,2542.0,,,USA
6.0,,100.0,3781.0,17.0,,USA
6.0,258.0,110.0,3632.0,18.0,74.0,
6.0,225.0,105.0,3613.0,16.5,74.0,
8.0,302.0,140.0,4141.0,14.0,,
8.0,,150.0,,14.5,74.0,
8.0,318.0,150.0,4457.0,13.5,74.0,USA
8.0,302.0,140.0,4638.0,16.0,,USA
8.0,304.0,150.0,,15.5,,USA
4.0,,83.0,2219.0,16.5,,Europe
4.0,,67.0,1963.0,15.5,74.0,Europe
4.0,97.0,78.0,2300.0,14.5,,Europe
,,52.0,1649.0,16.5,74.0,Japan
4.0,83.0,61.0,,19.0,,Japan
4.0,,75.0,2125.0,14.5,74.0,USA
4.0,,75.0,2108.0,,74.0,Europe
4.0,116.0,75.0,,,,
4.0,120.0,97.0,2489.0,15.0,74.0,
4.0,,93.0,2391.0,15.5,74.0,Japan
4.0,,67.0,,16.0,74.0,Europe
6.0,225.0,,3264.0,16.0,75.0,USA
6.0,250.0,105.0,3459.0,,75.0,USA
6.0,250.0,72.0,3432.0,21.0,,USA
,250.0,72.0,3158.0,19.5,,USA
8.0,400.0,,,11.5,75.0,USA
8.0,,145.0,4440.0,14.0,75.0,USA
8.0,318.0,150.0,4498.0,14.5,75.0,
,351.0,148.0,4657.0,,75.0,
,231.0,110.0,,21.0,75.0,USA
6.0,250.0,105.0,,18.5,75.0,USA
6.0,258.0,,,,,USA
6.0,225.0,95.0,3785.0,19.0,75.0,
6.0,231.0,110.0,,,75.0,
8.0,262.0,110.0,3221.0,,75.0,
,302.0,,3169.0,12.0,75.0,USA
4.0,,75.0,2171.0,,75.0,Japan
4.0,140.0,83.0,2639.0,17.0,,USA
6.0,232.0,,,16.0,75.0,USA
4.0,140.0,,2592.0,18.5,75.0,
4.0,134.0,96.0,2702.0,13.5,75.0,Japan
4.0,90.0,71.0,2223.0,,75.0,Europe
4.0,119.0,97.0,2545.0,,75.0,Japan
6.0,171.0,,2984.0,14.5,75.0,USA
,,,1937.0,,75.0,Europe
6.0,232.0,,3211.0,,,USA
4.0,115.0,95.0,2694.0,15.0,75.0,Europe
4.0,120.0,88.0,,17.0,75.0,Europe
4.0,121.0,98.0,,14.5,75.0,Europe
4.0,,115.0,,13.5,75.0,
4.0,,53.0,1795.0,17.5,75.0,Japan
4.0,107.0,86.0,,15.5,,Europe
4.0,,,2220.0,16.9,76.0,Europe
4.0,,,2572.0,14.9,76.0,
,98.0,,2255.0,17.7,76.0,USA
4.0,101.0,83.0,,15.3,76.0,Europe
8.0,305.0,140.0,4215.0,13.0,76.0,USA
8.0,318.0,,4190.0,,76.0,USA
8.0,304.0,,3962.0,13.9,76.0,USA
8.0,,,4215.0,12.8,,
6.0,225.0,100.0,3233.0,,,USA
,250.0,105.0,3353.0,14.5,76.0,USA
6.0,,,3012.0,17.6,,USA
6.0,,90.0,3085.0,17.6,76.0,
4.0,85.0,52.0,,22.2,,
4.0,98.0,60.0,2164.0,22.1,,USA
4.0,90.0,,1937.0,14.2,76.0,Europe
4.0,91.0,53.0,1795.0,17.4,76.0,
6.0,225.0,100.0,3651.0,17.7,76.0,USA
6.0,250.0,78.0,3574.0,21.0,76.0,USA
6.0,250.0,110.0,3645.0,,76.0,USA
6.0,258.0,,3193.0,17.8,,USA
,,,1825.0,12.2,76.0,Europe
4.0,,70.0,1990.0,,76.0,Japan
,97.0,,2155.0,,76.0,Japan
,140.0,72.0,2565.0,13.6,76.0,USA
4.0,130.0,,3150.0,15.7,76.0,Europe
8.0,318.0,150.0,3940.0,13.2,76.0,USA
,120.0,88.0,3270.0,21.9,76.0,Europe
6.0,,108.0,2930.0,15.5,76.0,
6.0,,,3820.0,16.7,76.0,
8.0,350.0,180.0,4380.0,12.1,76.0,USA
8.0,,145.0,4055.0,12.0,76.0,USA
8.0,302.0,130.0,3870.0,15.0,76.0,
,318.0,150.0,3755.0,14.0,76.0,USA
,98.0,68.0,2045.0,18.5,77.0,Japan
4.0,111.0,80.0,2155.0,,77.0,USA
,79.0,58.0,1825.0,18.6,,
4.0,122.0,,2300.0,15.5,77.0,USA
4.0,,,1945.0,16.8,,
8.0,305.0,145.0,3880.0,,77.0,USA
8.0,,,4060.0,19.0,77.0,
8.0,,145.0,4140.0,13.7,77.0,USA
8.0,302.0,,,14.9,77.0,USA
6.0,,110.0,3520.0,16.4,77.0,USA
6.0,231.0,,3425.0,16.9,77.0,
6.0,,100.0,3630.0,17.7,77.0,USA
6.0,250.0,,3525.0,19.0,77.0,USA
8.0,400.0,180.0,4220.0,,77.0,USA
8.0,350.0,,4165.0,,77.0,
8.0,,190.0,4325.0,12.2,77.0,USA
8.0,351.0,,4335.0,14.5,77.0,
,97.0,78.0,1940.0,14.5,,Europe
4.0,151.0,88.0,2740.0,16.0,77.0,
4.0,,75.0,2265.0,,77.0,Japan
,,,,15.8,77.0,USA
,,63.0,,17.0,77.0,
4.0,98.0,83.0,2075.0,15.9,77.0,USA
4.0,97.0,,1985.0,16.4,77.0,Japan
,97.0,,2190.0,14.1,,Europe
6.0,146.0,97.0,2815.0,14.5,77.0,
4.0,,110.0,2600.0,12.8,77.0,Europe
3.0,,,2720.0,,,Japan
,90.0,48.0,1985.0,21.5,,
,98.0,66.0,1800.0,14.4,78.0,USA
4.0,78.0,52.0,1985.0,19.4,,Japan
4.0,85.0,70.0,,18.6,78.0,Japan
4.0,91.0,,1800.0,,78.0,Japan
8.0,,110.0,,15.5,78.0,USA
8.0,318.0,140.0,,13.2,78.0,USA
8.0,302.0,139.0,3570.0,12.8,78.0,USA
6.0,231.0,105.0,3535.0,19.2,78.0,USA
,,95.0,3155.0,18.2,78.0,USA
6.0,200.0,85.0,,15.8,,USA
4.0,140.0,88.0,2720.0,,78.0,USA
6.0,225.0,,3430.0,,78.0,USA
6.0,,,3210.0,,78.0,USA
6.0,231.0,105.0,,15.8,78.0,USA
,200.0,85.0,3070.0,16.7,78.0,USA
6.0,,110.0,3620.0,18.7,78.0,
6.0,258.0,120.0,3410.0,15.1,78.0,USA
8.0,305.0,145.0,,13.2,78.0,USA
,231.0,165.0,3445.0,13.4,78.0,USA
8.0,302.0,139.0,,,78.0,USA
8.0,318.0,140.0,,13.7,78.0,USA
,98.0,68.0,,16.5,78.0,USA
4.0,,,2560.0,14.2,,Japan
4.0,,97.0,2300.0,14.7,78.0,
4.0,,75.0,,14.5,78.0,USA
4.0,134.0,95.0,2515.0,14.8,78.0,
4.0,,105.0,2745.0,16.7,78.0,
4.0,151.0,85.0,2855.0,,78.0,USA
4.0,119.0,97.0,2405.0,,78.0,Japan
5.0,131.0,103.0,2830.0,,78.0,Europe
6.0,163.0,,,13.6,,Europe
4.0,,115.0,2795.0,,,Europe
6.0,,,3410.0,15.8,,
4.0,89.0,71.0,1990.0,14.9,78.0,
4.0,98.0,,2135.0,16.6,78.0,Japan
6.0,231.0,115.0,,,,USA
6.0,200.0,85.0,2990.0,18.2,79.0,
,140.0,,2890.0,17.3,,USA
,232.0,90.0,,,79.0,USA
6.0,225.0,110.0,3360.0,16.6,79.0,USA
,305.0,130.0,3840.0,,79.0,
,302.0,129.0,3725.0,13.4,79.0,USA
8.0,351.0,,3955.0,,,USA
8.0,318.0,135.0,3830.0,,79.0,USA
8.0,,155.0,4360.0,14.9,79.0,USA
8.0,351.0,142.0,4054.0,14.3,,
,267.0,,3605.0,,,USA
8.0,360.0,150.0,,13.0,79.0,
4.0,89.0,,1925.0,,,Europe
,,65.0,,,79.0,Japan
4.0,98.0,80.0,,14.4,79.0,USA
4.0,121.0,,2670.0,15.0,79.0,USA
5.0,,,3530.0,20.1,79.0,Europe
,350.0,125.0,,17.4,79.0,
4.0,141.0,71.0,3190.0,,79.0,Europe
8.0,260.0,90.0,3420.0,,79.0,USA
4.0,105.0,70.0,2200.0,13.2,79.0,USA
4.0,105.0,70.0,,14.9,79.0,USA
,85.0,65.0,2020.0,19.2,,Japan
4.0,91.0,69.0,2130.0,14.7,79.0,Europe
,151.0,90.0,,16.0,79.0,USA
6.0,173.0,115.0,2595.0,11.3,79.0,
,173.0,115.0,2700.0,12.9,79.0,USA
4.0,151.0,90.0,2556.0,13.2,79.0,USA
,98.0,76.0,,14.7,80.0,Europe
4.0,89.0,60.0,1968.0,18.8,80.0,Japan
4.0,98.0,70.0,,15.5,80.0,USA
4.0,,,2019.0,16.4,,Japan
4.0,,,2678.0,16.5,80.0,USA
,140.0,,2870.0,18.1,80.0,USA
4.0,,,3003.0,20.1,80.0,USA
6.0,225.0,90.0,3381.0,18.7,80.0,USA
4.0,,78.0,2188.0,15.8,,Europe
4.0,,90.0,2711.0,15.5,,Japan
,120.0,75.0,2542.0,17.5,80.0,Japan
4.0,,92.0,2434.0,15.0,80.0,Japan
4.0,108.0,,,15.2,80.0,Japan
4.0,86.0,65.0,2110.0,17.9,80.0,Japan
,156.0,105.0,2800.0,14.4,80.0,USA
,85.0,65.0,,,80.0,Japan
4.0,90.0,,2085.0,21.7,80.0,Europe
,90.0,48.0,,,80.0,Europe
5.0,,,2950.0,19.9,80.0,Europe
,146.0,67.0,3250.0,21.8,80.0,Europe
4.0,91.0,67.0,,,80.0,Japan
,,,1835.0,17.3,80.0,Europe
,97.0,,2145.0,,80.0,
4.0,,62.0,1845.0,15.3,80.0,
6.0,168.0,132.0,,11.4,80.0,Japan
3.0,70.0,100.0,2420.0,12.5,80.0,
4.0,122.0,88.0,2500.0,15.1,80.0,Europe
,,,2905.0,14.3,80.0,
4.0,,,2290.0,17.0,80.0,Japan
4.0,135.0,84.0,2490.0,15.7,81.0,
,151.0,84.0,2635.0,,81.0,USA
4.0,156.0,92.0,,14.4,81.0,USA
6.0,173.0,110.0,2725.0,,81.0,
4.0,135.0,84.0,2385.0,12.9,81.0,USA
4.0,79.0,58.0,1755.0,16.9,81.0,Japan
4.0,86.0,64.0,1875.0,16.4,81.0,USA
4.0,81.0,60.0,1760.0,,81.0,Japan
4.0,97.0,,2065.0,17.8,81.0,Japan
4.0,85.0,65.0,,19.4,81.0,Japan
4.0,89.0,,2050.0,17.3,,
4.0,,68.0,1985.0,16.0,81.0,Japan
,,63.0,2215.0,,81.0,USA
4.0,98.0,65.0,2045.0,,81.0,USA
4.0,98.0,65.0,2380.0,20.7,81.0,USA
,105.0,,2190.0,14.2,81.0,Europe
4.0,100.0,,2320.0,15.8,81.0,
4.0,107.0,75.0,2210.0,14.4,,Japan
4.0,108.0,75.0,,16.8,81.0,Japan
,119.0,100.0,2615.0,14.8,81.0,
,120.0,74.0,,18.3,,
,141.0,,3230.0,20.4,,Europe
6.0,145.0,76.0,,19.6,81.0,Europe
6.0,168.0,,2900.0,12.6,81.0,Japan
6.0,,120.0,,,,Japan
,231.0,110.0,3415.0,15.8,81.0,USA
8.0,350.0,,3725.0,19.0,81.0,USA
6.0,,88.0,,,81.0,USA
,225.0,85.0,3465.0,,81.0,USA
4.0,,88.0,,19.6,82.0,USA
4.0,112.0,,2640.0,18.6,82.0,USA
4.0,,88.0,2395.0,18.0,,USA
,,85.0,2575.0,16.2,82.0,USA
,,84.0,2525.0,16.0,82.0,
4.0,151.0,,,18.0,82.0,USA
4.0,,92.0,2865.0,16.4,82.0,USA
,151.0,,,20.5,,
4.0,,,1980.0,,82.0,Europe
,91.0,68.0,2025.0,18.2,82.0,Japan
4.0,91.0,68.0,1970.0,17.6,82.0,
4.0,105.0,63.0,2125.0,,82.0,
4.0,,70.0,2125.0,,82.0,USA
4.0,,88.0,2160.0,14.5,82.0,Japan
,107.0,,2205.0,,82.0,
4.0,,70.0,2245.0,,,
4.0,,,,15.0,82.0,Japan
4.0,91.0,67.0,,,,Japan
4.0,91.0,67.0,,16.2,,Japan
6.0,181.0,110.0,2945.0,16.4,,USA
,262.0,85.0,3015.0,17.0,82.0,USA
4.0,156.0,92.0,2585.0,,82.0,USA
6.0,232.0,112.0,2835.0,14.7,82.0,USA
4.0,144.0,96.0,,,,
4.0,135.0,84.0,,13.0,82.0,USA
4.0,151.0,90.0,2950.0,17.3,82.0,USA
4.0,140.0,86.0,2790.0,,82.0,USA
4.0,,52.0,,24.6,82.0,Europe
4.0,135.0,,2295.0,11.6,,USA
4.0,120.0,,2625.0,18.6,82.0,USA
,,,2720.0,19.4,82.0,
